Rule,y,ymax,ymin,type,fill
Plurality,2.566,2.585975472228229,2.546024527771771,Plurality,Voting
Plurality w/ Runoff,2.2123333333333335,2.2362930089801107,2.1883736576865562,Plurality w/ Runoff,Voting
Borda,2.6486666666666667,2.665682007132471,2.6316513262008625,Borda,Voting
Copeland,2.6668333333333334,2.6850226593685322,2.6486440072981345,Copeland,Voting
IRV,2.5661666666666667,2.586712227688128,2.5456211056452056,IRV,Voting
Maximin,2.5793333333333335,2.5971495391571082,2.5615171275095587,Maximin,Voting
Rank-Rank,0.822222222222222,1.08221753372184,0.562226910722608,SPVoting,SPVoting
Rank-Top,2.04444444444444,2.31354799878185,1.77534089010704,SPVoting,SPVoting
Rank-None,2.93333333333333,3.19523699787147,2.6714296687952,SPVoting,SPVoting
